in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
wm_t,2048,1,lru,ml,models/v8_wm_rfc.onnx,0.7,0,0,0,197819321,149703853,9136431,0,17895056,0,21083981,38979037,10071858,831496
wm_t,2048,1,lru,ml,models/v8_wm_rfc.onnx,0.9,0,0,0,197819321,150586204,4252372,0,17895056,0,25085689,42980745,4331880,63845
wm_t,2048,1,lru,ml,models/v8_wm_rfc.onnx,0.85,0,0,0,197819321,150399108,5459683,0,17895056,0,24065474,41960530,5624002,137416
wm_t,2048,1,lru,ml,models/v8_wm_rfc.onnx,0.95,0,0,0,197819321,150844683,2025514,0,17895056,0,27054068,44949124,2034623,5765
wm_t,2048,1,lru,ml,models/v8_wm_rfc.onnx,0.75,0,0,0,197819321,149911190,8093338,0,17895056,0,21919737,39814793,8736439,566068
wm_t,2048,1,lru,ml,models/v8_wm_rfc.onnx,0.8,0,0,0,197819321,150147109,6861427,0,17895056,0,22915729,40810785,7224416,311842
wm_t,2048,1,sieve,ml,models/v8_wm_rfc.onnx,0.85,0,0,0,197819321,150399108,5459683,0,17895056,0,24065474,41960530,5624002,137416
wm_t,2048,1,sieve,ml,models/v8_wm_rfc.onnx,0.8,0,0,0,197819321,150147109,6861427,0,17895056,0,22915729,40810785,7224416,311842
wm_t,2048,1,gdsf,ml,models/v8_wm_rfc.onnx,1,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
wm_t,2048,1,lru,ml,models/v8_wm_rfc.onnx,1,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
wm_t,2048,1,gdsf,ml,models/v8_wm_rfc.onnx,0.85,0,0,0,197819321,150399108,5459683,0,17895056,0,24065474,41960530,5624002,137416
wm_t,2048,1,sieve,ml,models/v8_wm_rfc.onnx,0.75,0,0,0,197819321,149911190,8093338,0,17895056,0,21919737,39814793,8736439,566068
wm_t,2048,1,sieve,ml,models/v8_wm_rfc.onnx,0.75,0,0,0,197819321,149911190,8093338,0,17895056,0,21919737,39814793,8736439,566068
wm_t,2048,1,sieve,ml,models/v8_wm_rfc.onnx,0.7,0,0,0,197819321,149703853,9136431,0,17895056,0,21083981,38979037,10071858,831496
wm_t,2048,1,gdsf,ml,models/v8_wm_rfc.onnx,0.95,0,0,0,197819321,150844683,2025514,0,17895056,0,27054068,44949124,2034623,5765
wm_t,2048,1,gdsf,ml,models/v8_wm_rfc.onnx,0.95,0,0,0,197819321,150844683,2025514,0,17895056,0,27054068,44949124,2034623,5765
wm_t,2048,1,gdsf,ml,models/v8_wm_rfc.onnx,0.9,0,0,0,197819321,150586204,4252372,0,17895056,0,25085689,42980745,4331880,63845
wm_t,2048,1,gdsf,ml,models/v8_wm_rfc.onnx,0.7,0,0,0,197819321,149703853,9136431,0,17895056,0,21083981,38979037,10071858,831496
wm_t,2048,1,gdsf,ml,models/v8_wm_rfc.onnx,0.75,0,0,0,197819321,149911190,8093338,0,17895056,0,21919737,39814793,8736439,566068
wm_t,2048,1,gdsf,ml,models/v8_wm_rfc.onnx,0.8,0,0,0,197819321,150147109,6861427,0,17895056,0,22915729,40810785,7224416,311842
